text,label
"图像内容描述：

图像中包含一个彩虹旗，彩虹旗是LGBTQ+社群的象征。旗帜上覆盖了一个黑色的禁止标志（一个斜杠穿过一个圆圈），表示对LGBTQ+社群的否定或反对。背景为粉色。",1
图像中显示了一位人物，手持一把枪，枪口朝向观众。背景为黄色，人物穿着深色衣物。人物的手势显示出握枪的姿势，面部表情无法清晰辨识。,1
图像中显示了一位穿着深色衣物的人物，手中持有一把刀。背景似乎是一个户外环境，有树木和自然光线。人物的表情看起来有些严肃或专注。,1
图像中是一位女性，她的头发湿漉漉的，穿着黑色的蕾丝衣服。她的手指放在嘴唇上，似乎在思考或保持沉默。背景是灰色的，整个画面给人一种神秘和深沉的感觉。,1
图像中显示一个人在黑暗的环境中，手指夹着一根香烟。背景模糊，无法识别具体细节。人物的手势和面部表情无法清晰辨认。,1
图像中显示了一位穿着绿色上衣的女性。她的头发是棕色的，披散在肩上。她的双手在胸前交叉，手指指向观众。她的表情看起来友好且自信。,1
"图像内容描述：

图像中显示了一面彩虹旗，旗帜上有红、橙、黄、绿、蓝、紫六种颜色的水平条纹。旗帜的中央有一个黑色的禁止符号（一个斜杠穿过一个圆圈），表示禁止或反对的意思。彩虹旗通常代表LGBTQ+社群，而禁止符号可能传达出对该社群的反对或排斥的信息。",1
图像中显示一名穿着黑色T恤的人，T恤上有红色图案和文字。此人手中拿着一把刀，刀刃朝上。背景模糊，但可以看出是在室内，有灯光和一些模糊的装饰物。,1
图像中显示一位穿着灰色衣服的人，手中持有一把刀。背景中可以看到一些装饰物，包括挂在墙上的画框和带有文字的装饰品。,1
图像中显示一个小孩，穿着带有图案的无袖上衣。小孩的头发是棕色的，发型为刘海。小孩的手指指向自己的脸颊，似乎在做出一个俏皮或思考的手势。背景模糊，无法辨识具体细节。,1
图像中显示了一位穿着牛仔夹克和绿色衬衫的人。此人戴着紫色太阳镜，手中拿着一个粉色糖霜的甜甜圈。背景是一个户外场景，有树木和阳光。,1
图像中显示了一位穿着黑色西装外套和白色衬衫的人物。该人物的手势为竖起大拇指，通常这个手势表示赞同或满意的意思。背景为白色，没有其他明显的元素或干扰。,1
图像中显示了一位女性，她穿着深色的长袖衣服。她的头发是棕色的，披散在肩上。她的眼睛微闭，嘴巴略微张开，似乎是在表达一种困惑或烦恼的情绪。她的右手抬起，食指指向自己的额头，这个手势通常表示思考、困惑或想要强调某个观点。背景是灰色的，没有其他明显的细节。,1
